id,school,location,role,rating,submittedDate,salary,monthlyTakeHome,monthlySavings,taxRate,housing,airfare,childrenTuition,healthInsurance,retirementPlan,education,experience,yearsAtSchool,curricula,workload,contractLength,schoolStructure,facultySize,extracurriculars,url
"1294","🇹🇭 International School of Bangkok","Bangkok, Thailand","Elementary Homeroom Teacher","","","","5800","51% – 60% savings","27","1400","Yearly Round trip ticket to Home of Record (cash)","Free tuition is provided for one child per teacher","Provided","Yes","Masters","16+ years","","American","Heavy (More than 30 hours per week)","2 years","Non-Profit (Board Governed)","Very Large (>100 teachers)","None","https://www.internationalteachersalary.com/schools/1294"
"1295","🇨🇳 Kings College School Hangzhou","Hangzhou, China","Elementary Homeroom Teacher","","","","4000","31% – 40% savings","20","1000","1500","Free tuition is provided for two children per teacher","Provided","No","Bachelors","9-10 years","4","British","Busy (26-30 hours per week)","3 years","Non-Profit (Public)","Small (<20 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1295"
"1296","🇪🇸 St George School Madrid","Madrid, Spain","Learning Support Teacher","","","","1400","Less than 20% savings","19","Not provided","No","Free tuition is provided for two children per teacher","Not provided","No","Masters","3-5 years","3","British","Busy (26-30 hours per week)","2 years","For-Profit (Corporate-Owned)","Large (51-100 teachers)","None","https://www.internationalteachersalary.com/schools/1296"
"1297","🇪🇸 St George School Madrid","Madrid, Spain","Learning Support Teacher","","","","1400","Less than 20% savings","19","Not provided","No","Free tuition is provided for two children per teacher","Not provided","No","Masters","3-5 years","3","British","Busy (26-30 hours per week)","2 years","For-Profit (Corporate-Owned)","Large (51-100 teachers)","None","https://www.internationalteachersalary.com/schools/1297"
"1298","🇪🇸 St George School Madrid","Madrid, Spain","Learning Support Teacher","","","","1400","Less than 20% savings","19","Not provided","No","Free tuition is provided for two children per teacher","Not provided","No","Masters","3-5 years","3","British","Busy (26-30 hours per week)","2 years","For-Profit (Corporate-Owned)","Large (51-100 teachers)","None","https://www.internationalteachersalary.com/schools/1298"
"1299","🇭🇰 Kellett School Hong Kong","Hong Kong, Hong Kong","High School Math Teacher","","","","","","","Not provided","None","Partial tuition is provided for teacher's children","Provided","No","","","","","","","","","","https://www.internationalteachersalary.com/schools/1299"
"1300","🇨🇳 Wellington College International, Tianjin","Tianjin, China","High School History Teacher","","","","3666","41% – 50% savings","20","1966","Provided to country of origin - tax free for teacher, taxed benefit for family","Free tuition is provided for two children per teacher","Provided","No","Masters","6-8 years","2","British","Moderate (20-25 hours per week)","2 years","For-Profit (Corporate-Owned)","Large (51-100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1300"
"1301","🇲🇾 HELP International School","Kuala Lumpur, Malaysia","Curriculum Coordinator","","","","2700","21% – 30% savings","25","710","Flights provided for teacher and dependants","Free tuition is provided for one child per teacher","Provided","Yes","Masters","6-8 years","","British","Moderate (20-25 hours per week)","2 years","For-Profit (Corporate-Owned)","Very Large (>100 teachers)","Less than 1 hour per week","https://www.internationalteachersalary.com/schools/1301"
"1302","🇭🇰 Korean international School","Sai Wan Ho, Hong Kong","High School Psychology Teacher","","","","6250","Less than 20% savings","14","Not provided","Not provided","Free tuition is provided for all of teacher's children","Provided","No","Masters","6-8 years","","British","Moderate (20-25 hours per week)","2 years","Non-Profit (Public)","Medium (20-50 teachers)","None","https://www.internationalteachersalary.com/schools/1302"
"1303","🇹🇭 Australian International School Bangkok","bangkok, Thailand","Elementary Homeroom Teacher","","","","2800","31% – 40% savings","1","244","2 flights","Partial tuition is provided for teacher's children","Provided","No","Bachelors","11-15 years","2","Australian","Moderate (20-25 hours per week)","2 years","For-Profit (Family-Owned)","Large (51-100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1303"
"1304","🇫🇯 International School Nadi","Nadi, Fiji","Head of School","","","","1500","Less than 20% savings","20","750","Not provided","Partial tuition is provided for teacher's children","Provided","Yes","Masters","16+ years","20+","International Baccalaureate","Heavy (More than 30 hours per week)","2 years","Non-Profit (Board Governed)","Medium (20-50 teachers)","None","https://www.internationalteachersalary.com/schools/1304"
"1305","🇲🇦 Rabat American School","Rabat, Morocco","High School History Teacher","","","","3700","41% – 50% savings","33","800","Vacation stipend of $1,250 each summer, paid in local currency","Free tuition is provided for one child per teacher","Provided","Yes","Masters","16+ years","4","American","Moderate (20-25 hours per week)","2 years","Non-Profit (Board Governed)","Medium (20-50 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1305"
"1306","🇲🇼 St Andrews International High school","Blantyre, Malawi","High School Coordinator/Lead","","","","3070","Less than 20% savings","30","500","Flight to home country for spouse and 2 children every 2 years","Free tuition is provided for two children per teacher","Employee pays percentage","No","Bachelors","16+ years","","British","Moderate (20-25 hours per week)","2 years","Non-Profit (Board Governed)","Medium (20-50 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1306"
"1311","🇲🇵 Saipan International School","Saipan, Northern Mariana Islands","High School Principal","","","","3683","Less than 20% savings","15","Not provided","Not provided","Not provided","Not provided","No","Masters","11-15 years","","American","Heavy (More than 30 hours per week)","2 years","Non-Profit (Board Governed)","Small (&lt;20 teachers)","3-4 hours per week","https://www.internationalteachersalary.com/schools/1311"
"1312","🇲🇾 Epsom College Malaysia","Kuala Lumpur, Malaysia","Middle School Science Teacher","","","","74000","71% – 80% savings","0","Not provided","Not provided","Not provided","Not provided","No","Masters","11-15 years","5","Australian","Light (Less than 20 hours per week)","3 years","Non-Profit (Board Governed)","Very Large (>100 teachers)","None","https://www.internationalteachersalary.com/schools/1312"
"1319","🇨🇳 BASIS Guangzhou","Guangzhou, China","Elementary Homeroom Teacher","","","","3600","51% – 60% savings","12","Not provided","Not provided","Not provided","Not provided","No","Masters","9-10 years","4","American","Variable (Depends on term or school year)","2 years","Non-Profit (Board Governed)","Large (51-100 teachers)","None","https://www.internationalteachersalary.com/schools/1319"
"1320","🇨🇳 American School of Guangzhou","Guangzhou, China","Middle School History Teacher","","","","3800","51% – 60% savings","28","Not provided","Not provided","Not provided","Not provided","No","Masters","3-5 years","1","American","Moderate (20-25 hours per week)","2 years","Non-Profit (Public)","Small (&lt;20 teachers)","Less than 1 hour per week","https://www.internationalteachersalary.com/schools/1320"
"1321","🇸🇬 German European School Singapore","Singapore, Singapore","Elementary Homeroom Teacher","","","","9300","Less than 20% savings","17","Not provided","Not provided","Not provided","Not provided","No","Masters","11-15 years","4","International Baccalaureate","Busy (26-30 hours per week)","2 years","Non-Profit (Board Governed)","Very Large (>100 teachers)","None","https://www.internationalteachersalary.com/schools/1321"
"1323","🇩🇪 MIS","Munich, Germany","Elementary Physical Education Teacher","","","","4200","Less than 20% savings","46","Not provided","Not provided","Not provided","Not provided","No","Bachelors","11-15 years","3","International Baccalaureate","Heavy (More than 30 hours per week)","2 years","Non-Profit (Board Governed)","Very Large (>100 teachers)","None","https://www.internationalteachersalary.com/schools/1323"
"1324","🇹🇭 Lamai International School","Koh Samui, Thailand","Elementary Homeroom Teacher","","","","2100","Less than 20% savings","8","Not provided","Not provided","Not provided","Not provided","No","Bachelors","3-5 years","3","British","Heavy (More than 30 hours per week)","1 year","For-Profit (Family-Owned)","Small (&lt;20 teachers)","None","https://www.internationalteachersalary.com/schools/1324"
"1325","🇭🇰 Nord Anglia Hong Kong","Hong Kong, Hong Kong","High School Music Teacher","","","","3750","31% – 40% savings","18","Not provided","Not provided","Not provided","Not provided","No","Masters","11-15 years","5","British","Busy (26-30 hours per week)","2 years","For-Profit (Corporate-Owned)","Large (51-100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1325"
"1326","🇵🇪 markham college","Lima, Peru","High School Math Teacher","","","","4000","31% – 40% savings","15","Not provided","Not provided","Not provided","Not provided","No","Bachelors","3-5 years","2","British","Busy (26-30 hours per week)","2 years","Non-Profit (Board Governed)","Very Large (>100 teachers)","Less than 1 hour per week","https://www.internationalteachersalary.com/schools/1326"
"1327","🇹🇷 MEF International School","Istanbul, Turkey","Elementary Homeroom Teacher","","","","3700","61% – 70% savings","0","Not provided","Not provided","Not provided","Not provided","No","Masters","16+ years","5","International Baccalaureate","Busy (26-30 hours per week)","2 years","For-Profit (Family-Owned)","Large (51-100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1327"
"1328","🇺🇸 QSI International School of Malta","Mosta, United States of America","High School Coordinator/Lead","","","","4900","31% – 40% savings","20","Not provided","Not provided","Not provided","Not provided","No","Masters","11-15 years","2","American","Heavy (More than 30 hours per week)","2 years","Non-Profit (Board Governed)","Medium (20-50 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1328"
"1330","🇶🇦 American School of Doha","Doha, Qatar","Elementary Homeroom Teacher","","","","6000","51% – 60% savings","0","Not provided","Not provided","Not provided","Not provided","No","Masters","11-15 years","4","American","Heavy (More than 30 hours per week)","2 years","Non-Profit (Board Governed)","Very Large (>100 teachers)","Less than 1 hour per week","https://www.internationalteachersalary.com/schools/1330"
"1331","🇨🇳 BIBA Beijing","Sichuan, China","Elementary Homeroom Teacher","","","","6000","Less than 20% savings","5","Not provided","Not provided","Not provided","Not provided","No","Ph.D / Ed.D","6-8 years","4","Australian","Light (Less than 20 hours per week)","3 years","Non-Profit (Board Governed)","Medium (20-50 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1331"
"1334","🇨🇳 EtonHouse International School Suzhou","Suzhou, China","Middle School Science Teacher","","","","42996","61% – 70% savings","20","Not provided","Not provided","Not provided","Not provided","No","Masters","6-8 years","3","International Baccalaureate","Busy (26-30 hours per week)","1 year","For-Profit (Corporate-Owned)","Medium (20-50 teachers)","None","https://www.internationalteachersalary.com/schools/1334"
"1336","🇨🇳 Maple Leaf International School","Shanghai, China","Elementary Homeroom Teacher","","","","43000","61% – 70% savings","4","Not provided","Not provided","Not provided","Not provided","No","Masters","9-10 years","4","Canadian","Light (Less than 20 hours per week)","2 years","For-Profit (Corporate-Owned)","Large (51-100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1336"
"1337","🇰🇼 Kuwait Bilngual School 2","Al Jahra, Kuwait","Elementary Homeroom Teacher","","","","2833","41% – 50% savings","0","Not provided","Not provided","Not provided","Not provided","No","Masters","6-8 years","7","International Baccalaureate","Moderate (20-25 hours per week)","1 year","Non-Profit (Board Governed)","Very Large (>100 teachers)","Less than 1 hour per week","https://www.internationalteachersalary.com/schools/1337"
"1338","🇨🇳 Jinan Thomas International School","Jinan, China","ESL/EAL Teacher","","","","3800","31% – 40% savings","20","Not provided","Not provided","Not provided","Not provided","No","Bachelors","16+ years","2","International Baccalaureate","Busy (26-30 hours per week)","2 years","For-Profit (Corporate-Owned)","Medium (20-50 teachers)","3-4 hours per week","https://www.internationalteachersalary.com/schools/1338"
"1339","🇨🇳 Jinan Thomas International School","Jinan, China","ESL/EAL Teacher","","","","3800","31% – 40% savings","20","Not provided","Not provided","Not provided","Not provided","No","Bachelors","16+ years","2","International Baccalaureate","Busy (26-30 hours per week)","2 years","For-Profit (Corporate-Owned)","Medium (20-50 teachers)","3-4 hours per week","https://www.internationalteachersalary.com/schools/1339"
"1340","🇨🇳 BASIS International and Bilingual Schools Wuhan","Wuhan, China","Middle School Art Teacher","","","","4800","51% – 60% savings","20","Not provided","Not provided","Not provided","Not provided","No","Masters","11-15 years","3","American","Moderate (20-25 hours per week)","3 years","For-Profit (Corporate-Owned)","Large (51-100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1340"
"1341","🇨🇳 BASIS International and Bilingual Schools Wuhan","Wuhan, China","Middle School Art Teacher","","","","4800","51% – 60% savings","20","Not provided","Not provided","Not provided","Not provided","No","Masters","11-15 years","3","American","Moderate (20-25 hours per week)","3 years","For-Profit (Corporate-Owned)","Large (51-100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1341"
"1342","🇨🇳 Shanghai United International School Gubei","Shanghai, China","High School Physics Teacher","","","","4998","31% – 40% savings","13","Not provided","Not provided","Not provided","Not provided","No","Bachelors","9-10 years","","International Baccalaureate","Moderate (20-25 hours per week)","2 years","For-Profit (Corporate-Owned)","Large (51-100 teachers)","More than 4 hours per week","https://www.internationalteachersalary.com/schools/1342"
"1343","🇨🇭 ISZL","ZURICH, Switzerland","Middle School Math Teacher","","","","9000","Less than 20% savings","15","Not provided","Not provided","Not provided","Not provided","No","Masters","11-15 years","","International Baccalaureate","Variable (Depends on term or school year)","1 year","Non-Profit (Board Governed)","Large (51-100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1343"
"1344","🇸🇬 NLCS Singapore","Singapore, Singapore","Elementary Homeroom Teacher","","","","4700","Less than 20% savings","12","Not provided","Not provided","Not provided","Not provided","No","Bachelors","9-10 years","3","British","Busy (26-30 hours per week)","3 years","For-Profit (Corporate-Owned)","Very Large (>100 teachers)","3-4 hours per week","https://www.internationalteachersalary.com/schools/1344"
"1345","🇨🇴 Colegio Gran Bretana","Bogota, Colombia","High School Economics Teacher","","","","2000","21% – 30% savings","3","Not provided","Not provided","Not provided","Not provided","No","Masters","1-2 years","","International Baccalaureate","Moderate (20-25 hours per week)","2 years","For-Profit (Family-Owned)","Medium (20-50 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1345"
"1346","🇯🇵 Tokyo Korean School","Tokyo, Japan","Elementary Homeroom Teacher","","","","$2400","31% – 40% savings","20%","Not provided","N/a","Tuition is NOT provided for teacher's children","Not provided","No","Masters","16+ years","","South Korean","Moderate (20-25 hours per week)","More than 5 years","","Large (51-100 teachers)","Less than 1 hour per week","https://www.internationalteachersalary.com/schools/1346"
"1347","🇻🇳 The Dewey Schools Tay Ho Tay","Hanoi, Vietnam","High School Coordinator/Lead","","","","$3000","21% – 30% savings","20%","Not provided","Once per year","Partial tuition is provided for teacher's children","Not provided","No","Masters","6-8 years","","American","Moderate (20-25 hours per week)","2 years","","Large (51-100 teachers)","None","https://www.internationalteachersalary.com/schools/1347"
"1348","🇲🇾 Tunku Putra-HELP School","Kuching, Malaysia","Elementary Homeroom Teacher","","","","$2251","Less than 20% savings","30%","$380/yr","RM5,000 for all members, which the Employee may take during the year-end term holidays.","Free tuition is provided for one child per teacher","Not provided","No","Bachelors","3-5 years","1","British","Moderate (20-25 hours per week)","2 years","","Large (51-100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1348"
"1349","🇲🇳 Canadian School of Ulaanbaatar","Ulaanbaatar, Mongolia","Middle School Science Teacher","","","","$2600","21% – 30% savings","10%","$500/yr","paid flight to mongolia, paid flight end of contract","Free tuition is provided for one child per teacher","Not provided","No","Bachelors","3-5 years","2","Canadian","Moderate (20-25 hours per week)","2 years","","Medium (20-50 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1349"
"1350","🇹🇭 Singapore International School of Bangkok","Bangkok, Thailand","High School Foreign Language Teacher (specify languages below)","","","","$3100","41% – 50% savings","17%","$500/yr","Every year","Partial tuition is provided for teacher's children","Not provided","No","Masters","3-5 years","2","Singaporean","Light (Less than 20 hours per week)","2 years","","Large (51-100 teachers)","Less than 1 hour per week","https://www.internationalteachersalary.com/schools/1350"
"1351","🇨🇱 Saint John's","Concepción, Chile","Elementary Homeroom Teacher","","","","$25000","Less than 20% savings","19%","Not provided","One at beginning and end of contract","Partial tuition is provided for teacher's children","Not provided","No","Bachelors","3-5 years","1","International Baccalaureate","Light (Less than 20 hours per week)","2 years","","Large (51-100 teachers)","None","https://www.internationalteachersalary.com/schools/1351"
"1352","🇷🇴 British international school of Timisoara","Timisoara, Romania","Elementary Homeroom Teacher","","","","$2640","31% – 40% savings","40%","Not provided","One at beginning and end of contract","Free tuition is provided for all of teacher's children","Not provided","No","Bachelors","3-5 years","2","British","Light (Less than 20 hours per week)","2 years","","Large (51-100 teachers)","None","https://www.internationalteachersalary.com/schools/1352"
"1353","🇻🇳 Canadian International School Vietnam","Ho Chi Minh City, Vietnam","Elementary Physical Education Teacher","","","","$2850","41% – 50% savings","0%","$530/yr","Only teacher, family not included","Free tuition is provided for two children per teacher","Not provided","No","Bachelors","16+ years","1","International Baccalaureate","Busy (26-30 hours per week)","2 years","","Medium (20-50 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1353"
"1354","🇪🇪 International School of Tallinn","Tallinn, Estonia","Elementary Homeroom Teacher","","","","$2600","Less than 20% savings","22%","Not provided","0","Tuition is NOT provided for teacher's children","Not provided","No","Masters","16+ years","","International Baccalaureate","Moderate (20-25 hours per week)","1 year","","Medium (20-50 teachers)","None","https://www.internationalteachersalary.com/schools/1354"
"1355","🇸🇬 XCL World Academy","Singapore, Singapore","High School Coordinator/Lead","","","","$9500","31% – 40% savings","9%","$1500/yr","Every two years upon re-signing contract","Free tuition is provided for one child per teacher","Not provided","No","Masters","11-15 years","6","International Baccalaureate","Moderate (20-25 hours per week)","2 years","","Large (51-100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1355"
"1356","🇧🇪 International School of Brussels","Brussels, Belgium","High School Biology Teacher","","","","$5500","Less than 20% savings","48%","$200/yr","Not provided","Tuition is NOT provided for teacher's children","Not provided","No","Masters","11-15 years","","International Baccalaureate","Moderate (20-25 hours per week)","2 years","","Very Large (100 teachers)","None","https://www.internationalteachersalary.com/schools/1356"
"1357","🇨🇱 The International School Nido de Aguilas","Santiago, Chile","Middle School Science Teacher","","","","$5100","51% – 60% savings","20%","$1180/yr","after initial 2 year contract","Free tuition is provided for two children per teacher","Not provided","No","Masters","11-15 years","","International Baccalaureate","Busy (26-30 hours per week)","2 years","","Large (51-100 teachers)","Less than 1 hour per week","https://www.internationalteachersalary.com/schools/1357"
"1358","🇩🇪 Metropolitan School Frankfurt","Frankfurt am Main, Germany","Computer Science Teacher","","","","$4200","Less than 20% savings","35%","Not provided","0","Partial tuition is provided for teacher's children","Not provided","No","Masters","16+ years","8","International Baccalaureate","Variable (Depends on term or school year)","More than 5 years","","Large (51-100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1358"
"1359","🇭🇰 English School Foundation","Hong Kong, Hong Kong","Computer Science Teacher","","","","$8500","31% – 40% savings","15%","$1100/yr","Flight out and home at end of final contract","Partial tuition is provided for teacher's children","Not provided","No","Bachelors","16+ years","13","International Baccalaureate","Moderate (20-25 hours per week)","2 years","","Very Large (100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1359"
"1360","🇪🇬 The British International School, Cairo","Cairo, Egypt","High School Drama Teacher","","","","$5078","61% – 70% savings","0%","$1157/yr","Flights paid for all of the family","Free tuition is provided for two children per teacher","Not provided","No","Bachelors","6-8 years","3","British","Heavy (More than 30 hours per week)","2 years","","Large (51-100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1360"
"1361","🇮🇳 Sanjay Ghodawat International School","Kolhapur, India","Computer Science Teacher","","","","$9000","71% – 80% savings","0%","Not provided","0","Free tuition is provided for one child per teacher","Not provided","No","Masters","1-2 years","2","International Baccalaureate","Heavy (More than 30 hours per week)","2 years","","Medium (20-50 teachers)","More than 4 hours per week","https://www.internationalteachersalary.com/schools/1361"
"1362","🇩🇪 International School on the Rhine","Neuss, Germany","High School Biology Teacher","","","","$2900","21% – 30% savings","37%","Not provided","0","Partial tuition is provided for teacher's children","Not provided","No","Bachelors","6-8 years","","International Baccalaureate","Heavy (More than 30 hours per week)","2 years","","Very Large (100 teachers)","None","https://www.internationalteachersalary.com/schools/1362"
"1363","🇨🇳 Jinan Thomas School","Jinan, China","High School English Teacher","","","","$4000","31% – 40% savings","30%","$450/yr","1200/ywae","Free tuition is provided for one child per teacher","Not provided","No","Masters","16+ years","2","American","Heavy (More than 30 hours per week)","2 years","","Medium (20-50 teachers)","Less than 1 hour per week","https://www.internationalteachersalary.com/schools/1363"
"1364","🇮🇳 Mahindra International School","Pune, India","Elementary Homeroom Teacher","","","","$3580","More than 80% savings","0%","$1000/yr","Annual airfare","Partial tuition is provided for teacher's children","Not provided","No","Masters","11-15 years","2","International Baccalaureate","Busy (26-30 hours per week)","1 year","","Medium (20-50 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1364"
